Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0031461	921	311	314	1298	531	525	528	546	505	759	840	729	651.08	526	776	1.474	0.559	0.000307725095884537	0.00642775913073439	0.0153	0.0181
FBgn0036688	493	186	237	732	374	423	282	327	381	428	592	587	432.84	330	536	1.625	0.7	0.000307986995656988	0.00642775913073439	0.0238	0.0219
FBgn0023091	18	5	4	35	20	20	10	9	6	20	32	28	17.57	8	27	2.847	1.51	0.000310994031800371	0.0064740432711336	0.0507	0.0615
FBgn0032820	532	176	202	775	297	354	305	309	325	453	470	491	392.18	313	471	1.507	0.592	0.000311911936560953	0.00647671317385553	0.0161	0.0231
FBgn0036752	9320	3228	3360	14505	5316	5954	5338	5668	5402	8481	8414	8264	6927.82	5469	8386	1.533	0.617	0.000328131598536639	0.0067621491738631	0.0209	0.0282
FBgn0038815	262	90	91	469	157	167	150	158	146	274	248	232	201.48	151	251	1.668	0.738	0.000330347540341646	0.00679075319769971	0.024	0.0355
FBgn0030954	17	8	7	40	23	26	10	14	11	23	36	36	21.82	12	32	2.745	1.457	0.000331788927780806	0.00680333196414543	0.0535	0.062
FBgn0264343	56	9	8	222	29	29	32	16	13	130	46	40	46.12	20	72	3.431	1.779	0.000334189593720647	0.00683546894687467	0.1413	0.061
FBgn0261444	1212	457	372	1669	681	747	694	803	598	976	1078	1037	864.2	698	1030	1.475	0.561	0.000338841262112506	0.00689621844130714	0.0161	0.0169
FBgn0051219	2643	990	1199	4958	1443	1677	1514	1738	1928	2899	2284	2328	2115.04	1727	2504	1.454	0.54	0.000349482638272253	0.007077670615084	0.0157	0.0193
FBgn0033268	112	40	52	202	86	120	64	70	84	118	136	167	106.46	73	140	1.937	0.954	0.000354990479337601	0.00715388676050861	0.0382	0.0508
FBgn0026179	799	274	243	1048	466	464	458	481	391	613	738	644	553.96	443	665	1.495	0.58	0.000368809498391804	0.00739602813156376	0.0167	0.0193
FBgn0033777	1657	533	555	2498	809	880	949	936	892	1461	1280	1221	1123.28	926	1321	1.428	0.514	0.000368587776920917	0.00739602813156376	0.0138	0.0166
FBgn0050185	777	224	275	1045	401	451	445	393	442	611	635	626	525.36	427	624	1.457	0.543	0.000372634975780454	0.00745451724719826	0.0143	0.0198
FBgn0011674	180	47	59	312	99	119	103	83	95	182	157	165	130.79	94	168	1.786	0.837	0.000381360415134245	0.00759203428381329	0.0302	0.0457
FBgn0261563	2758	1210	1067	4463	1837	1866	1580	2125	1715	2609	2907	2590	2254.45	1807	2702	1.498	0.583	0.000385153723724163	0.00764898508955347	0.0187	0.0198
FBgn0259111	3833	1527	1465	5545	2337	2622	2195	2681	2355	3242	3699	3639	2968.7	2410	3527	1.464	0.55	0.000397348747384807	0.00784153446811301	0.0168	0.0219
FBgn0023477	2535	1012	1180	3653	1649	1937	1452	1777	1897	2136	2610	2689	2093.39	1709	2478	1.452	0.538	0.000409284078263353	0.00805023503576983	0.016	0.0192
FBgn0043575	12	10	11	61	17	32	7	18	18	36	27	44	24.85	14	36	2.827	1.499	0.000413695363954003	0.00811753439031276	0.0686	0.0623
FBgn0027836	4797	1846	2028	6619	3248	3771	2748	3242	3260	3870	5141	5234	3915.7	3083	4748	1.54	0.623	0.000417718239008269	0.0081769092991547	0.022	0.0242
FBgn0033541	25	7	13	66	24	26	14	12	21	39	38	36	26.7	16	38	2.408	1.268	0.000419445663472018	0.00819089989960702	0.0443	0.0625
FBgn0032105	966	333	392	1377	561	612	553	585	630	805	888	849	718.45	589	847	1.439	0.525	0.000434749044357222	0.0083796851421703	0.0142	0.0176
FBgn0035173	792	312	266	1192	443	506	454	548	428	697	701	702	588.26	477	700	1.473	0.559	0.00043522870892033	0.0083796851421703	0.0159	0.0188
FBgn0264574	14	7	5	45	23	12	8	12	8	26	36	17	17.95	9	26	2.873	1.522	0.000438848055042534	0.00842958254674207	0.0584	0.0616
FBgn0261109	441	200	227	801	334	366	253	351	365	468	529	508	412.28	323	502	1.567	0.648	0.000481243238019169	0.00915813697965946	0.0214	0.0225
FBgn0037812	23	7	6	57	19	19	13	12	10	33	30	26	20.81	12	30	2.503	1.324	0.000487314872310462	0.00925221431178336	0.0446	0.0621
FBgn0027843	1269	369	515	1809	652	772	727	648	828	1058	1032	1072	893.98	734	1054	1.435	0.521	0.000506456196681635	0.00956418001941989	0.0147	0.0168
FBgn0033438	2320	787	722	3120	1087	1308	1329	1382	1161	1824	1720	1815	1538.61	1291	1786	1.384	0.469	0.000507244368257456	0.00956418001941989	0.0123	0.0175
FBgn0029848	18	5	5	50	13	17	10	9	8	29	21	24	16.76	9	25	2.665	1.414	0.000510651298071848	0.00958435228097321	0.047	0.0615
FBgn0035267	42	20	11	90	43	38	24	35	18	53	68	53	41.71	26	58	2.264	1.179	0.000510542948719533	0.00958435228097321	0.05	0.0621
FBgn0085354	226	62	98	351	142	186	129	109	158	205	225	258	180.67	132	229	1.731	0.792	0.000513125866489786	0.00959345421423948	0.03	0.0382
FBgn0011592	857	265	275	1274	430	446	491	465	442	745	681	619	573.8	466	682	1.462	0.548	0.000522725010381598	0.00969997858631191	0.0157	0.019
