Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0299837	7634	2943	2209	20229	6711	6234	4473	4967	3486	11891	10406	8646	7311.44	4309	10314	2.394	1.259	8.91307255323692e-05	0.00554157906730071	0.072	0.0903
FBtr0073292	13	1	3	37	14	25	8	2	5	22	22	35	15.36	5	26	4.765	2.252	9.07867629992546e-05	0.0056250096133725	0.1311	0.154
FBtr0334654	13	7	18	83	102	44	8	12	28	49	158	61	52.63	16	89	5.734	2.52	9.17928505570351e-05	0.00566773373129059	0.2317	0.178
FBtr0346711	1061	386	337	2614	835	934	622	651	532	1537	1295	1295	988.6	602	1376	2.286	1.193	0.00010927200000526	0.00667789908564568	0.0653	0.0889
FBtr0302561	106	15	24	247	82	158	62	25	38	145	127	219	102.79	42	164	3.823	1.935	0.000110207433922104	0.00671215752316055	0.1553	0.1687
FBtr0345447	35	3	39	714	74	73	21	5	62	420	115	101	120.47	29	212	7.348	2.877	0.000115277324596105	0.00695001944181098	0.3328	0.1633
FBtr0075554	334	35	128	683	368	461	196	59	202	401	571	639	344.7	152	537	3.505	1.809	0.00011936880350257	0.00714855450005691	0.1459	0.1194
FBtr0340135	1615	961	897	4838	1976	2538	946	1622	1415	2844	3064	3520	2235.24	1328	3143	2.369	1.244	0.000119153535382473	0.00714855450005691	0.0725	0.0849
FBtr0089582	923	692	452	2288	1963	1806	541	1168	713	1345	3044	2505	1552.57	807	2298	2.848	1.51	0.000127476220385842	0.00750851711259503	0.1062	0.0854
FBtr0304682	728	843	322	2161	2486	2686	427	1423	508	1270	3855	3725	1867.94	786	2950	3.757	1.91	0.000130410752588133	0.00765618011751839	0.1669	0.085
FBtr0088506	1527	499	609	3057	1309	1541	895	842	961	1797	2030	2137	1443.63	899	1988	2.21	1.144	0.000137591128478188	0.00802510340889393	0.0623	0.0857
FBtr0084927	27	8	6	112	23	39	16	14	9	66	36	54	32.4	13	52	3.922	1.972	0.000143973440905711	0.00837009231447295	0.1392	0.1728
FBtr0112808	267	231	207	1255	657	527	156	390	327	738	1019	731	560.05	291	829	2.862	1.517	0.000146167302888064	0.00847013503402483	0.1073	0.1011
FBtr0075707	24	16	11	66	68	82	14	27	17	39	105	114	52.73	19	86	4.455	2.155	0.000149706498877109	0.0086472405448178	0.1824	0.178
FBtr0085307	45	7	19	151	48	67	26	12	30	89	74	93	54.05	23	85	3.688	1.883	0.000157866748097769	0.0090024267243269	0.1421	0.1781
FBtr0301501	537	149	125	1074	368	565	315	251	197	631	571	784	458.15	254	662	2.591	1.374	0.000162269453454645	0.00913709696087695	0.0893	0.1079
FBtr0073425	40	5	15	170	60	33	23	8	24	100	93	46	49.05	18	80	4.19	2.067	0.000162922810969204	0.00913936322775187	0.1721	0.1779
