Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0100199	242	99	67	47	38	34	142	167	106	28	59	47	91.39	138	45	0.318	-1.653	0.000703642973965197	0.0294379231117309	0.1473	0.1719
FBtr0306917	38996	16464	20467	16882	8751	10132	22850	27788	32298	9923	13569	14052	20079.98	27645	12515	0.453	-1.143	0.000711308823525521	0.0296094414310514	0.0801	0.0987
FBtr0074432	65	78	74	17	17	24	38	132	117	10	26	33	59.36	96	23	0.24	-2.06	0.00073217498611153	0.0301690066327608	0.2205	0.1781
FBtr0343633	499	484	197	210	107	136	292	817	311	123	166	189	316.35	473	159	0.337	-1.571	0.000735567965923009	0.0301690066327608	0.1443	0.1233
FBtr0339194	59	18	19	13	5	10	35	30	30	8	8	14	20.7	32	10	0.301	-1.732	0.000745072036223292	0.0303901136232671	0.1171	0.1617
FBtr0299525	2669	624	679	1106	337	406	1564	1053	1071	650	523	563	904.05	1229	579	0.471	-1.088	0.000747042668635678	0.0304012409649783	0.0719	0.0901
FBtr0079632	2019	725	867	1117	359	459	1183	1224	1368	657	557	637	937.45	1258	617	0.49	-1.028	0.000752574298307759	0.0305569056360516	0.0643	0.0896
FBtr0086670	812	271	263	377	100	136	476	457	415	222	155	189	318.92	449	189	0.421	-1.25	0.000767785505142086	0.0310337861288356	0.0926	0.1227
FBtr0300039	1500	740	694	771	246	450	879	1249	1095	453	381	624	780.3	1074	486	0.453	-1.143	0.000786154458013247	0.0316334420790679	0.0797	0.0927
FBtr0331945	53	21	12	16	6	4	31	35	19	9	9	6	18.28	28	8	0.291	-1.779	0.000801308149811006	0.0321162156396915	0.1233	0.1584
FBtr0290320	191	29	63	33	22	20	112	49	99	19	34	28	56.92	87	27	0.305	-1.712	0.000822660018383422	0.0328806926097624	0.1546	0.1781
FBtr0307306	1832	807	722	873	393	442	1073	1362	1139	513	609	613	885.07	1191	578	0.485	-1.043	0.000828035134579959	0.0330218198658992	0.0672	0.0905
FBtr0083252	601	130	107	173	64	40	352	219	169	102	99	55	166.14	247	85	0.346	-1.53	0.000838516621965307	0.0333655080731351	0.1371	0.1516
FBtr0087960	2757	825	820	885	493	565	1615	1392	1294	520	764	784	1061.69	1434	689	0.48	-1.059	0.000862393431324169	0.0341637539409083	0.07	0.0881
FBtr0070466	876	47	90	83	51	37	513	79	142	49	79	51	152.3	245	60	0.242	-2.049	0.000900122213057908	0.0355796652251985	0.2449	0.1548
FBtr0306930	221	78	119	92	33	39	129	132	188	54	51	54	101.38	150	53	0.356	-1.488	0.000913612976248639	0.0359541845114464	0.1261	0.1692
FBtr0076218	295	83	120	113	45	20	173	140	189	66	70	28	111.04	167	55	0.328	-1.607	0.000967701088509794	0.0379160956036244	0.1512	0.1665
FBtr0330390	693	218	356	391	108	104	406	368	562	230	167	144	312.89	445	180	0.407	-1.296	0.000972603105554376	0.038024958969556	0.1037	0.1236
FBtr0303445	71	22	20	26	6	7	42	37	32	15	9	10	24.1	37	11	0.324	-1.626	0.00108511549654953	0.0418028509573808	0.1204	0.1659
FBtr0305668	1106	264	265	384	131	157	648	446	418	226	203	218	359.74	504	216	0.427	-1.227	0.00108557610271317	0.0418028509573808	0.0952	0.1175
FBtr0074338	11906	3679	4779	6308	2079	2572	6976	6209	7541	3708	3224	3567	5204.31	6909	3500	0.507	-0.981	0.00109904711854639	0.0421403376974125	0.0637	0.088
