Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0086080	863	303	266	850	242	272	506	511	420	500	375	377	448.16	479	417	0.867	-0.206	0.372383499668473	0.766585152565398	0.0356	0.0433
FBtr0086081	307	18	37	386	23	28	180	30	58	227	36	39	95.01	89	101	0.991	-0.013	0.973223831557468	0.994930563101846	0.0832	0.0892
FBtr0086082	451	258	192	639	194	205	264	435	303	376	301	284	327.24	334	320	0.968	-0.047	0.869668031174968	0.970807619748828	0.0533	0.0513
FBtr0086083	402	59	101	266	173	208	236	100	159	156	268	288	201.27	165	237	1.443	0.529	0.165461334400167	0.551825415118159	0.0912	0.0661
FBtr0086084	2634	288	290	2278	393	310	1543	486	458	1339	609	430	810.91	829	793	1.012	0.017	0.935247265617427	0.986296100815367	0.0303	0.0324
FBtr0086085	1052	687	440	2600	454	594	616	1160	694	1528	704	824	921.06	823	1019	1.186	0.246	0.430495425120995	0.803263871247393	0.0643	0.0308
FBtr0086086	77	94	194	164	135	81	45	159	306	96	209	112	154.66	170	139	0.996	-0.005	0.991295620712615	0.997856164102403	0.1189	0.0758
FBtr0086089	3	2	0	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBtr0086091	48	59	35	218	61	83	28	100	55	128	95	115	86.8	61	113	2.035	1.025	0.0213704866202137	0.16486856243927	0.1179	0.093
FBtr0086092	2558	723	707	3785	788	810	1499	1220	1116	2225	1222	1123	1400.82	1278	1523	1.147	0.198	0.301097497619795	0.713177951275704	0.0252	0.0269
FBtr0086094	1308	295	325	1800	361	312	766	498	513	1058	560	433	637.95	592	684	1.105	0.144	0.510007936020412	0.853181815642568	0.0322	0.0362
