Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0347364	122	65	76	75	24	20	71	110	120	44	37	28	68.36	100	36	0.378	-1.405	0.000362493709438971	0.00738431440411174	0.0871	0.0974
FBtr0310661	2851	756	899	191	421	661	1671	1276	1419	112	653	917	1007.83	1455	561	0.302	-1.727	0.000365251936210759	0.00743204678385211	0.134	0.0298
FBtr0089921	734	225	298	391	154	158	430	380	470	230	239	219	327.97	427	229	0.537	-0.897	0.000370240523424617	0.00752500205725446	0.0412	0.0512
FBtr0329974	1329	1915	1323	968	670	1117	779	3232	2088	569	1039	1549	1542.61	2033	1052	0.557	-0.844	0.00037333924874027	0.00756223143432498	0.0388	0.0263
FBtr0333948	455	475	428	261	292	268	267	802	675	153	453	372	453.6	581	326	0.564	-0.827	0.000372808301738701	0.00756223143432498	0.0356	0.0432
FBtr0075354	188	52	56	67	26	29	110	88	88	39	40	40	67.7	95	40	0.417	-1.261	0.000379657976792366	0.0076543567585641	0.0688	0.0973
FBtr0303039	3159	2847	2209	1405	1785	2213	1851	4805	3486	826	2768	3069	2800.81	3381	2221	0.605	-0.724	0.000380881711325247	0.00766299766628076	0.0289	0.0248
FBtr0335013	437	209	190	232	91	130	256	353	300	136	141	180	227.73	303	152	0.507	-0.981	0.000386319007537101	0.00776366795618331	0.0486	0.0622
FBtr0085498	862	227	309	233	137	228	505	383	488	137	212	316	340.24	459	222	0.463	-1.11	0.000389109066656314	0.00780222502524967	0.0632	0.0502
FBtr0085330	8020	2075	2460	5285	1553	1840	4699	3502	3882	3107	2408	2552	3358.33	4028	2689	0.668	-0.582	0.000390092714311554	0.00781319926449965	0.0189	0.025
FBtr0071048	1054	346	294	590	191	214	618	584	464	347	296	297	434.21	555	313	0.565	-0.825	0.000412877917446042	0.00822357284737355	0.0358	0.0441
FBtr0299830	742	183	86	322	69	61	435	309	136	189	107	85	210.04	293	127	0.433	-1.208	0.000412344371988879	0.00822357284737355	0.0746	0.0644
FBtr0072799	12325	5870	5689	6740	4196	4753	7222	9907	8977	3962	6506	6592	7194.43	8702	5687	0.641	-0.641	0.000423455406327412	0.00841552997302845	0.0234	0.0287
FBtr0299695	63	37	24	37	0	7	37	62	38	22	0	10	28.12	46	11	0.215	-2.217	0.000436136948627898	0.00861972207740744	0.1915	0.0873
FBtr0332122	681	212	205	188	123	164	399	358	323	111	191	227	268.17	360	176	0.469	-1.092	0.000452771695421378	0.00891895487152387	0.0617	0.0571
FBtr0332141	1660	583	524	693	388	465	973	984	827	407	602	645	739.57	928	551	0.582	-0.781	0.000455569321493353	0.00894589181444558	0.0333	0.0338
FBtr0308592	638	306	406	254	236	260	374	516	641	149	366	361	401.14	510	292	0.539	-0.89	0.000457014161304148	0.00896308386890699	0.0424	0.0461
