Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0087451	2613	701	913	1985	599	687	1352	1050	1286	1014	823	852	1062.81	1229	896	0.728	-0.458	-2.913	0.00358491198237629	0.0431433182858633	0.006	0.0321	0.0168	0.0168	TRUE	NA
FBtr0071351	284	253	228	237	136	112	147	379	321	121	187	139	215.64	282	149	0.565	-0.824	-2.908	0.00363722862570914	0.043565478413961	0.0494	0.0561	0.0527	0.0527	TRUE	NA
FBtr0077822	2845	533	463	2567	237	323	1472	798	652	1311	325	401	826.65	974	679	0.61	-0.712	-2.908	0.00363380853781597	0.043565478413961	0.0488	0.0338	0.0413	0.0413	TRUE	NA
FBtr0336460	3039	871	1007	2084	796	849	1573	1305	1418	1064	1093	1053	1251.07	1432	1070	0.748	-0.419	-2.908	0.00363220376987946	0.043565478413961	0.0032	0.0311	0.0141	0.0141	TRUE	NA
FBtr0070257	139	81	91	82	41	61	72	121	128	42	56	76	82.55	107	58	0.548	-0.868	-2.906	0.00365681523049949	0.0437704453604645	0	0.1049	0.0507	0.0507	TRUE	NA
FBtr0076267	3665	1256	1151	2150	944	1152	1897	1881	1621	1098	1296	1429	1537.13	1800	1274	0.704	-0.506	-2.901	0.00371494408511788	0.0443381018759835	0.0144	0.0302	0.0212	0.0212	TRUE	NA
FBtr0113312	359	116	147	245	59	96	186	174	207	125	81	119	148.64	189	108	0.575	-0.797	-2.895	0.00379531184534247	0.0451836217065637	0.0232	0.0698	0.0469	0.0469	TRUE	NA
FBtr0340308	9579	4165	4668	6484	3645	4317	4957	6239	6575	3311	5005	5356	5240.59	5924	4557	0.758	-0.399	-2.894	0.00380121959747263	0.0451931289643067	0.0051	0.0272	0.0135	0.0135	TRUE	NA
FBtr0343128	45	16	58	2	17	2	23	24	82	1	23	2	25.97	43	9	0.151	-2.731	-2.894	0.00380081993864142	0.0451931289643067	0.8982	0.2768	0.5522	0.5522	TRUE	NA
FBtr0076460	296	50	39	132	22	32	153	75	55	67	30	40	70.06	94	46	0.498	-1.007	-2.893	0.00381035074398722	0.0452712659582793	0.012	0.1189	0.067	0.067	TRUE	NA
FBtr0074669	5987	2936	3422	4790	2572	2933	3098	4398	4820	2446	3532	3639	3655.51	4105	3206	0.782	-0.355	-2.893	0.00381944219674284	0.0453488267802534	0.0012	0.0277	0.0106	0.0106	TRUE	NA
FBtr0075703	640	226	228	129	153	200	331	339	321	66	210	248	252.5	330	175	0.462	-1.113	-2.892	0.00382550029776908	0.0453568756323355	0.1624	0.0517	0.1022	0.1022	TRUE	NA
FBtr0080941	245	72	60	151	35	39	127	108	85	77	48	48	82.12	107	58	0.541	-0.887	-2.892	0.00382781161715431	0.0453568756323355	0	0.1053	0.053	0.053	TRUE	NA
FBtr0090016	244	107	116	122	86	67	126	160	163	62	118	83	118.91	150	88	0.572	-0.805	-2.892	0.00383200798996026	0.0453762070618386	0.012	0.0807	0.0466	0.0466	TRUE	NA
FBtr0080776	411	134	125	331	64	40	213	201	176	169	88	50	149.34	197	102	0.48	-1.058	-2.89	0.00385274864522958	0.0455859016503969	0.108	0.0696	0.0875	0.0875	TRUE	NA
FBtr0081419	921	405	522	727	334	336	477	607	735	371	459	417	510.89	606	416	0.693	-0.528	-2.889	0.0038614293679189	0.0456025013003026	0.0093	0.0387	0.022	0.022	TRUE	NA
FBtr0074274	1068	165	161	754	103	137	553	247	227	385	141	170	287.18	342	232	0.673	-0.572	-2.889	0.00386699781809658	0.045607372266631	4e-04	0.0486	0.0234	0.0234	TRUE	NA
FBtr0114628	2559	557	476	1262	382	487	1324	834	670	644	525	604	767.06	943	591	0.647	-0.628	-2.889	0.00386543203588437	0.045607372266631	0.0307	0.0344	0.0325	0.0325	TRUE	NA
FBtr0073562	252	76	57	166	27	35	130	114	80	85	37	43	81.64	108	55	0.493	-1.021	-2.888	0.00387475395514895	0.0456684025453298	0	0.1057	0.074	0.074	TRUE	NA
FBtr0076558	208	104	83	99	21	65	108	156	117	51	29	81	90.06	127	54	0.425	-1.233	-2.888	0.00387908913002097	0.0456775117548652	0.1427	0.0983	0.1177	0.1177	TRUE	NA
FBtr0345127	130	150	79	75	51	61	67	225	111	38	70	76	97.88	134	61	0.476	-1.071	-2.887	0.00388682338724931	0.0456888987002177	0.0814	0.0925	0.0869	0.0869	TRUE	NA
FBtr0310624	96	37	35	47	15	18	50	55	49	24	21	22	36.89	51	22	0.437	-1.194	-2.886	0.00390497068643629	0.0458412982174813	0	0.2025	0.0903	0.0903	TRUE	NA
FBtr0346634	764	1018	1048	809	461	446	395	1525	1476	413	633	553	832.66	1132	533	0.544	-0.878	-2.885	0.00390998255330396	0.0458696958557694	0.1021	0.0338	0.0653	0.0653	TRUE	NA
FBtr0085393	36059	13996	13764	22090	11013	13810	18661	20965	19388	11280	15123	17133	17091.69	19671	14512	0.728	-0.457	-2.885	0.00391641867084022	0.0459012362851909	0.009	0.0263	0.0181	0.0181	TRUE	NA
FBtr0081428	2334	743	1136	1481	603	819	1208	1113	1600	756	828	1016	1086.9	1307	867	0.661	-0.597	-2.883	0.00393645244625426	0.046058055705479	0.0265	0.0319	0.0299	0.0299	TRUE	NA
FBtr0078761	862	315	205	575	149	186	446	472	289	294	205	231	322.62	402	243	0.601	-0.733	-2.881	0.00396567014960514	0.0463386199581668	0.04	0.0461	0.043	0.043	TRUE	NA
FBtr0088745	2009	581	634	1570	477	542	1040	870	893	802	655	672	822.03	934	710	0.759	-0.397	-2.88	0.00397146253110027	0.0463450815552077	0	0.0339	0.0123	0.0123	TRUE	NA
FBtr0074262	1351	692	632	665	587	499	699	1037	890	340	806	619	731.78	875	588	0.642	-0.639	-2.879	0.00398310607941914	0.0464503161839182	0.0332	0.0348	0.034	0.034	TRUE	NA
FBtr0074772	1894	1077	987	1193	882	902	980	1613	1390	609	1211	1119	1153.85	1328	980	0.72	-0.474	-2.879	0.00399354070781228	0.0465413232291878	0.0093	0.0316	0.0186	0.0186	TRUE	NA
FBtr0308571	2428	1197	1661	1964	739	1113	1257	1793	2340	1003	1015	1381	1464.62	1797	1133	0.645	-0.632	-2.875	0.00404027961402683	0.0469622776949728	0.0375	0.0304	0.0341	0.0341	TRUE	NA
FBtr0086060	4216	1326	1263	3001	1067	1215	2182	1986	1779	1532	1465	1507	1742.03	1982	1501	0.759	-0.399	-2.874	0.00405917878207592	0.0471200340116175	0.0032	0.0297	0.0132	0.0132	TRUE	NA
FBtr0090028	517	98	110	260	75	85	268	147	155	133	103	105	151.75	190	114	0.61	-0.713	-2.872	0.00407278568646441	0.0471851025404334	0.0104	0.0689	0.0364	0.0364	TRUE	NA
FBtr0310316	498	145	200	264	125	139	258	217	282	135	172	172	205.92	252	160	0.625	-0.678	-2.872	0.00407245020979117	0.0471851025404334	0.015	0.0576	0.0348	0.0348	TRUE	NA
FBtr0071867	111	39	61	49	18	32	57	58	86	25	25	40	48.54	67	30	0.443	-1.174	-2.871	0.00409029742344378	0.0472641748648883	0.0262	0.1601	0.096	0.096	TRUE	NA
FBtr0305497	6	65	52	1	30	14	3	97	73	1	41	17	38.8	58	20	0.311	-1.684	-2.871	0.00408829931523272	0.0472641748648883	0.1168	0.1938	0.1616	0.1616	TRUE	NA
FBtr0339149	421	138	277	264	92	134	218	207	390	135	126	166	207.03	272	142	0.531	-0.913	-2.871	0.00408538813404575	0.0472641748648883	0.0776	0.0574	0.0673	0.0673	TRUE	NA
FBtr0080894	398	181	202	324	96	129	206	271	285	165	132	160	203.16	254	152	0.611	-0.711	-2.865	0.00416921586494245	0.0480505523561543	0.022	0.058	0.0389	0.0389	TRUE	NA
FBtr0084705	2328	841	864	1153	680	814	1205	1260	1217	589	934	1010	1035.66	1227	844	0.669	-0.58	-2.865	0.00417406914282803	0.0480751674516736	0.0253	0.0322	0.0285	0.0285	TRUE	NA
FBtr0085494	588	395	249	415	194	125	304	592	351	212	266	155	313.35	416	211	0.52	-0.945	-2.864	0.00417801774563843	0.0480893376305072	0.1066	0.0467	0.0747	0.0747	TRUE	NA
FBtr0072549	1222	238	362	391	239	232	632	357	510	200	328	288	385.75	500	272	0.541	-0.887	-2.861	0.00422721897426295	0.0484883772975821	0.0918	0.0428	0.0662	0.0662	TRUE	NA
FBtr0085122	631	250	126	364	88	122	327	374	177	186	121	151	222.77	293	153	0.519	-0.947	-2.861	0.00422585487692565	0.0484883772975821	0.0933	0.0552	0.0733	0.0733	TRUE	NA
FBtr0335206	205	86	61	126	35	43	106	129	86	64	48	53	81.1	107	55	0.519	-0.947	-2.86	0.00423133937599145	0.0484883772975821	0.0236	0.1063	0.0643	0.0643	TRUE	NA
FBtr0072085	1567	667	637	998	535	600	811	999	897	510	735	744	782.67	902	663	0.724	-0.465	-2.86	0.00423784786139623	0.0485207545822419	0.0062	0.0343	0.0177	0.0177	TRUE	NA
FBtr0081283	239	93	147	154	69	73	124	139	207	79	95	91	122.34	157	88	0.569	-0.815	-2.86	0.00424088526668977	0.0485207545822419	0.0224	0.0792	0.0494	0.0494	TRUE	NA
FBtr0303997	97	57	79	16	32	52	50	85	111	8	44	65	60.58	82	39	0.378	-1.403	-2.859	0.00424703536715823	0.048536371240566	0	0.1335	0.1515	0.1515	TRUE	NA
FBtr0072468	2130	998	1068	771	819	962	1102	1495	1504	394	1125	1193	1135.58	1367	904	0.599	-0.74	-2.855	0.00430684048934995	0.0490605268723484	0.0641	0.0317	0.0474	0.0474	TRUE	NA
FBtr0302386	1138	311	289	959	192	200	589	466	407	490	264	248	410.56	487	334	0.664	-0.59	-2.854	0.00431144781664286	0.0490605268723484	0.016	0.0418	0.0278	0.0278	TRUE	NA
