Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBgn0261836	77256	24618	18346	47667	13788	14264	44250	43230	29493	27871	21822	19798	31077.36	38991	23164	0.591	-0.759	1.07899386696358e-06	1.46764638421812e-05	0.0172	0.0138
FBgn0035802	216	94	83	122	56	47	124	165	133	71	89	65	107.9	141	75	0.54	-0.89	1.12166070465773e-06	1.5231558111925e-05	0.0128	0.0146
FBgn0003862	9650	3147	2537	6814	2160	2258	5527	5526	4078	3984	3419	3134	4278.13	5044	3512	0.695	-0.524	1.17630223229571e-06	1.5920843084636e-05	0.008	0.0056
FBgn0037445	3542	1085	997	2612	854	856	2029	1905	1603	1527	1352	1188	1600.63	1846	1356	0.734	-0.446	1.21180300244526e-06	1.63743133872421e-05	0.0053	0.0048
FBgn0084017	131	19	11	44	6	7	75	33	18	26	9	10	28.5	42	15	0.358	-1.484	1.21757153725331e-06	1.64252002443284e-05	0.0212	0.0223
FBgn0032785	577	156	169	384	103	134	330	274	272	225	163	186	241.61	292	191	0.658	-0.603	1.23090838460199e-06	1.65506730664025e-05	0.0062	0.0086
FBgn0052813	386	129	144	215	102	106	221	227	231	126	161	147	185.56	226	145	0.627	-0.673	1.2364688263676e-06	1.65982280096024e-05	0.0075	0.0104
FBgn0036196	409	175	188	307	102	106	234	307	302	180	161	147	221.98	281	163	0.597	-0.745	1.2927276309273e-06	1.72968222330598e-05	0.0114	0.0093
FBgn0035132	3318	1014	1093	2586	854	947	1900	1781	1757	1512	1352	1314	1602.71	1813	1393	0.769	-0.379	1.32379628096916e-06	1.76549221081448e-05	0.0037	0.0048
FBgn0051637	4979	2053	2117	3963	1664	1850	2852	3605	3403	2317	2634	2568	2896.46	3287	2506	0.766	-0.385	1.33175867887675e-06	1.77035408170941e-05	0.0041	0.0051
FBgn0029791	345	187	166	217	124	126	198	328	267	127	196	175	215.14	264	166	0.631	-0.665	1.37474556697422e-06	1.8215933990828e-05	0.0081	0.0096
FBgn0046763	6001	1342	1492	4010	1176	1394	3437	2357	2399	2345	1861	1935	2388.85	2731	2047	0.755	-0.406	1.37804862793007e-06	1.82302497520685e-05	0.0045	0.0049
FBgn0037899	6080	2012	2408	4552	1697	2122	3482	3533	3871	2662	2686	2945	3196.56	3629	2764	0.762	-0.392	1.39415259609129e-06	1.84135903271188e-05	0.0044	0.0052
FBgn0029996	3507	906	956	2751	682	867	2009	1591	1537	1608	1079	1203	1504.64	1712	1297	0.756	-0.403	1.4224765774409e-06	1.87574805276049e-05	0.0042	0.0049
FBgn0263995	1560	426	357	976	306	338	894	748	574	571	484	469	623.27	739	508	0.689	-0.538	1.44860451885523e-06	1.90713551583477e-05	0.0069	0.0055
FBgn0033128	1069	301	392	809	235	275	612	529	630	473	372	382	499.61	590	409	0.696	-0.522	1.47800367550783e-06	1.94272213886462e-05	0.006	0.0059
