"ID","RNAi_1","RNAi_3","RNAi_4","Untreated_1","Untreated_3","Untreated_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0073421",463.190425380712,443.009984986078,536.425115874145,4870.61583527563,4848.22278587237,5262.3867748576,0.000325120659565324,3.37376243243616,2.05525418525396e-08,10.3658206506229,3.48795543268738
"FBtr0342811",817.221323760873,656.090850247838,653.984211249878,8146.19945336423,9432.6717627492,8142.89293701068,0.00048648845805715,3.59471033369318,8.28685804717162e-08,12.0813547298458,3.31292745891372
"FBtr0077645",457.289910407709,365.706229216695,420.84180361397,2478.06750949508,2672.84106833882,2617.28749561151,0.000494832910870268,2.64173183845184,1.25123689454521e-07,6.2408037215547,3.30554142356589
"FBtr0089348",384.516892407342,426.16173052352,414.914454267294,1648.73030928685,1679.92825120733,1515.74220808469,0.000618945254373444,1.97645389442723,2.34760195097077e-07,3.93524619137309,3.20834776257111
"FBtr0084549",140.628940189898,137.759257076208,149.17162522467,1102.79970627209,1108.25117467707,1201.8663642087,0.00048648845805715,2.98716779190447,9.2260280306685e-08,7.92915864920409,3.31292745891372
"FBtr0302694",444.505461299536,490.581526998006,425.781261402866,1476.69753274486,1561.58106694317,1519.71532003249,0.00072505874784568,1.74017168057594,3.20842735629292e-07,3.34074920290529,3.13962680331653
"FBtr0087533",2492.96757609364,2577.78293277134,2513.19612299047,4999.88901996037,5241.37614376686,5233.58171323607,0.000764410708302828,1.02365808856296,3.86578523700779e-07,2.03306746276534,3.11667323772867
"FBtr0308065",448.439137948205,422.19743535586,442.575417885114,1249.97225499009,1203.53068743211,1314.10677673398,0.000931268439810702,1.51418497943454,5.44290546037788e-07,2.85637417440018,3.03092511480338
"FBtr0072956",1528.2333780077,1555.98585330681,1378.10872310208,6678.45160263601,8154.9233495921,6651.98267859972,0.000931268439810702,2.25765077051528,7.06442965909882e-07,4.7821214511225,3.03092511480338
"FBtr0072393",246.838209703946,225.964824556657,226.227166731453,909.884338357943,961.821607706165,1035.98894038816,0.000931268439810702,2.04859979312529,6.69150251025829e-07,4.13704254190486,3.03092511480338
