Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342813	191	137	117	1371	486	533	99	205	165	700	667	661	416.26	156	676	4.524	2.178	8.112	4.96174490829452e-16	7.02225833381106e-14	0.054	0.0416	0.0476	0.0476	TRUE	NA
FBtr0113386	19	6	5	229	84	70	10	9	7	117	115	87	57.5	9	106	12.295	3.62	8.036	9.28979659478325e-16	1.29406135085284e-13	0.0135	0.1392	0.0804	0.0804	TRUE	NA
FBtr0071537	1193	279	335	2631	826	930	617	418	472	1344	1134	1154	856.45	502	1211	2.424	1.277	7.893	2.94149638694386e-15	3.88343377473312e-13	0	0.0335	0.0173	0.0173	TRUE	NA
FBtr0332478	60	17	29	289	275	213	31	25	41	148	378	264	147.8	32	263	7.469	2.901	7.878	3.31867224603576e-15	4.34893560774953e-13	0.0924	0.07	0.08	0.08	TRUE	NA
FBtr0300017	19401	7625	6844	40620	23430	24499	10040	11422	9640	20742	32173	30394	19068.72	10367	27770	2.632	1.396	7.863	3.75749258733071e-15	4.85210228923121e-13	0.0198	0.0263	0.0227	0.0227	TRUE	NA
FBtr0342607	29	16	15	265	92	116	15	24	21	135	126	144	77.61	20	135	7.012	2.81	7.842	4.43786504579634e-15	5.63232311096652e-13	0	0.1099	0.0615	0.0615	TRUE	NA
FBtr0342805	114	61	61	723	240	244	59	91	86	369	330	303	206.29	79	334	4.355	2.123	7.83	4.86387239421793e-15	6.10260755504322e-13	0.0317	0.0575	0.0444	0.0444	TRUE	NA
FBtr0302034	146	69	58	1395	288	294	76	103	82	712	395	365	288.86	87	491	5.492	2.457	7.828	4.94018607793063e-15	6.15470647215991e-13	0.0795	0.0485	0.0631	0.0631	TRUE	NA
FBtr0306087	263	43	48	827	322	372	136	64	68	422	442	462	265.68	89	442	5.132	2.36	7.803	6.02425324338355e-15	7.40104612004849e-13	0.0659	0.0505	0.0579	0.0579	TRUE	NA
FBtr0100470	1349	1128	1337	2831	2801	2849	698	1690	1883	1446	3846	3535	2182.92	1424	2942	2.067	1.048	7.794	6.50346709317881e-15	7.93467836865009e-13	0.0025	0.0289	0.0125	0.0125	TRUE	NA
FBtr0088266	534	102	101	1309	322	353	276	153	142	668	442	438	353.32	190	516	2.756	1.462	7.711	1.25157369096463e-14	1.49605338965239e-12	0.004	0.0444	0.0215	0.0215	TRUE	NA
FBtr0332406	191	919	751	637	2528	2334	99	1377	1058	325	3471	2896	1537.6	845	2231	2.81	1.491	7.687	1.50604514179457e-14	1.77622964023252e-12	0.0215	0.0302	0.0255	0.0255	TRUE	NA
FBtr0073359	3934	1397	1290	8536	3640	3343	2036	2093	1817	4359	4998	4147	3241.7	1982	4501	2.27	1.183	7.588	3.24105260810324e-14	3.65206762356398e-12	0.0098	0.0279	0.0171	0.0171	TRUE	NA
FBtr0072506	837	509	535	4188	1428	1689	433	762	754	2139	1961	2095	1357.35	650	2065	3.284	1.716	7.563	3.9283466706373e-14	4.34352380939028e-12	0.041	0.0307	0.036	0.036	TRUE	NA
FBtr0075928	107	44	42	448	152	225	55	66	59	229	209	279	149.51	60	239	3.989	1.996	7.521	5.42433476875364e-14	5.96036685677147e-12	0	0.0695	0.0396	0.0396	TRUE	NA
FBtr0072102	112	51	42	384	181	215	58	76	59	196	249	267	150.81	64	237	3.644	1.865	7.483	7.25102381144927e-14	7.78022231919793e-12	6e-04	0.0691	0.0344	0.0344	TRUE	NA
FBtr0075541	171	33	35	606	138	142	88	49	49	309	189	176	143.72	62	225	3.616	1.854	7.483	7.25643933450714e-14	7.78022231919793e-12	0	0.0713	0.032	0.032	TRUE	NA
FBtr0076668	41	30	24	305	121	161	21	45	34	156	166	200	103.6	33	174	5.482	2.455	7.421	1.16460728529914e-13	1.21911641918503e-11	0	0.0888	0.0594	0.0594	TRUE	NA
FBtr0088506	1527	499	609	3057	1309	1541	790	747	858	1561	1797	1912	1277.65	798	1757	2.189	1.13	7.41	1.26250227447708e-13	1.31381927869258e-11	0.0052	0.031	0.0158	0.0158	TRUE	NA
FBtr0346711	1061	386	337	2614	835	934	549	578	475	1335	1147	1159	873.69	534	1214	2.272	1.184	7.352	1.95184507196615e-13	1.98448799816972e-11	0.0044	0.0334	0.0172	0.0172	TRUE	NA
FBtr0077920	866	342	401	2084	814	893	448	512	565	1064	1118	1108	802.52	508	1097	2.168	1.117	7.256	3.97824266152491e-13	3.99881198437711e-11	0	0.0341	0.0155	0.0155	TRUE	NA
FBtr0080592	48	19	35	264	133	149	25	28	49	135	183	185	100.82	34	168	4.96	2.31	7.204	5.83156514575455e-13	5.79585499963729e-11	5e-04	0.0906	0.0554	0.0554	TRUE	NA
FBtr0081635	4695	1100	1386	9433	2666	2869	2430	1648	1952	4817	3661	3559	3011.15	2010	4012	1.997	0.998	7.2	6.03761556841579e-13	5.96712050395775e-11	0.0038	0.0281	0.0134	0.0134	TRUE	NA
FBtr0332963	149	58	53	556	175	195	77	87	75	284	240	242	167.47	80	255	3.233	1.693	7.149	8.7139945431989e-13	8.4240042329908e-11	0.0018	0.0648	0.0314	0.0314	TRUE	NA
FBtr0340135	1615	961	897	4838	1976	2538	836	1440	1264	2470	2713	3149	1978.57	1180	2777	2.407	1.267	7.132	9.92726443083608e-13	9.54474103510440e-11	0.0165	0.0292	0.0221	0.0221	TRUE	NA
FBtr0087090	52	12	23	338	106	98	27	18	32	173	146	122	86.17	26	147	5.699	2.511	7.113	1.13489769436036e-12	1.08526892491509e-10	0.0123	0.1015	0.0646	0.0646	TRUE	NA
FBtr0076545	545	271	246	1174	854	825	282	406	347	599	1173	1024	638.37	345	932	2.619	1.389	7.111	1.14976952602149e-12	1.09357917660464e-10	0.0165	0.0361	0.0254	0.0254	TRUE	NA
