ID,RNAi_1,RNAi_3,RNAi_4,Untreated_1,Untreated_3,Untreated_4,padj,log2FoldChange,pvalue,foldChange,log10padj
FBgn0033268,111.197271,110.830124,131.7314665,69.39898132,63.29144482,70.96448459,3.65E-05,-1.156628306,4.43E-09,0.448559631,4.438021404
FBgn0087007,178.7098998,184.7168733,182.6277149,109.6302748,105.4857414,112.9434755,4.62E-09,-1.068626521,5.61E-13,0.476772682,8.335397256
FBgn0020248,54.60580273,55.91429679,61.87387063,19.10986442,20.09252216,15.99199653,1.96E-11,-2.370491992,2.37E-15,0.193379666,10.7088337
FBgn0032405,138.9965888,138.7872724,147.698917,39.22551118,40.18504433,35.98199219,5.15E-38,-2.720455743,6.24E-42,0.151726423,37.28854737
FBgn0038545,118.1471004,101.8438977,107.7802908,55.31802859,53.24518374,67.96598524,3.16E-06,-1.294899018,3.84E-10,0.407564693,5.499989191
FBgn0038149,1366.137901,1366.904863,1573.791839,798.5911764,727.3493024,787.6058289,1.67E-27,-1.302312657,2.03E-31,0.405475695,26.77656316
FBgn0035267,45.67030774,53.91735762,42.91252318,24.13877611,30.13878325,16.99149631,0.034372663,-1.446787772,4.17E-06,0.366837296,1.463786817
FBgn0038804,134.0324249,150.7689074,143.7070544,94.54353977,82.37934088,88.95548068,3.36E-05,-1.001307424,4.08E-09,0.499547087,4.473495083
FBgn0031327,1053.395576,1087.333379,1047.863938,548.1513742,564.5998728,588.7053721,2.25E-49,-1.316173908,2.73E-53,0.401598585,48.64801501
FBgn0028434,114.1757693,111.8285936,121.75181,64.37006963,48.2220532,73.96298394,1.11E-05,-1.302768409,1.35E-09,0.405347624,4.954675331
FBgn0031150,1220.191483,1091.327257,1143.668641,551.1687212,602.7756649,568.7153765,2.91E-45,-1.457919947,3.54E-49,0.364017585,44.5355406
FBgn0259224,445.7819168,412.3679388,407.1699874,229.3183731,259.1935359,248.8754459,2.05E-17,-1.132814767,2.49E-21,0.45602513,16.68749081
FBgn0035811,1250.969299,1337.949245,1350.247532,778.4755296,745.4325723,836.5813183,6.95E-25,-1.074629989,8.43E-29,0.474792816,24.15802417
FBgn0035727,101.2689432,107.8347152,107.7802908,45.26020521,45.20817487,37.98099175,1.58E-15,-1.885408508,1.92E-19,0.27066711,14.79998857
FBgn0024984,165.8030737,186.7138125,191.6094058,86.49728107,72.33307979,79.95998263,7.80E-19,-1.721367853,9.47E-23,0.303261056,18.10779151
FBgn0003748,1489.249165,1545.630918,1484.972895,805.6316527,780.5944861,781.6088303,3.46E-59,-1.354680371,4.20E-63,0.391021443,58.46042042
FBgn0031018,57.58430106,55.91429679,53.89014539,29.1676878,38.17579211,22.98849501,0.027472516,-1.290061349,3.33E-06,0.408933639,1.561101564
FBgn0031688,50.63447162,53.91735762,37.92269491,17.09829975,14.06476552,25.98699436,0.000574009,-1.901067043,6.97E-08,0.267745263,3.241081622
FBgn0001226,2236.852246,2246.556568,2404.099264,947.4469624,844.890557,1012.49328,1.02E-63,-1.878470923,1.24E-67,0.271971819,62.99164414
FBgn0261989,30.77781608,23.96327005,20.95727876,3.017347014,12.0555133,7.995998263,0.002647205,-2.459346511,3.21E-07,0.181828908,2.577212506
FBgn0083983,138.9965888,122.811759,116.7619817,68.39319898,60.27756649,89.95498046,0.00234427,-1.149798034,2.84E-07,0.45068832,2.629992359
FBgn0002567,62.54846494,66.89746223,69.85759588,38.21972884,36.1665399,36.98149197,0.004474857,-1.217318573,5.43E-07,0.430081335,2.349220851
FBgn0033458,58.57713383,60.90664472,60.87590498,37.21394651,29.13415714,34.9824924,0.019061705,-1.205771463,2.31E-06,0.433537453,1.719838266
FBgn0036299,819.0870409,849.6976173,937.0897504,513.9547747,495.2806714,514.7423882,4.97E-23,-1.125432388,6.03E-27,0.458364625,22.30366887
FBgn0053556,285.9358397,333.4888416,300.3876623,205.1795969,190.8789606,174.912462,1.66E-08,-1.001266214,2.02E-12,0.499561356,7.779636035
FBgn0027515,595.6996661,590.0955251,574.8282175,352.0238183,350.6145118,376.8114182,2.50E-21,-1.027063782,3.04E-25,0.490707837,20.60174166
FBgn0035968,406.0686057,382.4138513,427.1293005,208.196944,205.9483522,230.8844499,2.68E-22,-1.327422513,3.26E-26,0.398479521,21.57149815
FBgn0010097,138.003756,139.785742,175.6419554,84.48571639,74.34233201,78.96048285,2.38E-07,-1.350976259,2.88E-11,0.392026678,6.624307156
FBgn0034718,697.9614421,731.8782062,757.4559324,384.2088531,358.6515206,369.8149197,8.37E-42,-1.415600508,1.02E-45,0.374853686,41.07743074
FBgn0035266,471.595569,547.1613329,560.8566983,297.711572,241.110266,287.8559375,1.45E-15,-1.355997162,1.76E-19,0.390664709,14.83966361
FBgn0025111,2617.1072,2940.49293,3003.876623,734.2211067,567.6137512,539.7298828,4.30E-86,-3.20722793,5.22E-90,0.108274999,85.36669643
FBgn0035523,77.4409566,87.86532353,54.88811105,32.18503482,26.12027881,39.97999132,0.002058669,-1.682793185,2.50E-07,0.311479002,2.686413558
FBgn0037896,94.3191138,91.85920187,98.79859988,57.32959327,65.30069704,52.9734885,0.003903694,-1.015614752,4.74E-07,0.49461752,2.408524225
FBgn0026415,64.5341305,72.88827975,60.87590498,38.21972884,33.15266157,43.97799045,0.048336727,-1.133447195,5.87E-06,0.455825268,1.315722763
