"","control_rep1","control_rep2","control_rep3","exper_rep1","exper_rep2","exper_rep3","padj","log2FoldChange","pvalue","foldChange","log10padj"
"Eif4ebp2","920.667324838758","949.83992672894","854.311403487453","482.798155259018","350.965381666702","521.220871247311","1.32373547318431e-10","-1.00275307863529","3.164912455333e-12","0.499046765465659","9.87819879285274"
"Rps6ka3","44.158980484081","67.8392689726424","33.6456427230087","16.5814885731359","16.6730894715132","19.1835302700698","0.000303912885861592","-1.490722432969","0.0000529290680608865","0.35583431939781","3.51725088550761"
"Slc13a3","595.787367482936","694.866635252974","474.41886230019","260.501792870936","284.046953076142","323.579623545217","1.7383204667473e-9","-1.01756625997282","5.80721158137147e-11","0.493948912006463","8.75987015647753"
"Nr2c2","195.788949973646","198.886449532577","175.95867730072","97.4605351487718","44.0495355930849","67.9131767476185","6.07840048109172e-9","-1.44255181432875","2.40388719591198e-10","0.367915964983465","8.21621068941592"
"Zfhx2","188.760598109042","204.532690025823","167.009139018149","95.7035704877187","65.2711556969429","62.8616154832995","3.00335497949031e-9","-1.32553137632663","1.07218764517954e-10","0.399002204819335","8.52239333362762"
"Bcl6","275.030302065978","365.079196155679","236.228741443445","142.51749050495","146.514844055005","116.431330216488","4.33883624689855e-8","-1.10972973115713","2.24526693526561e-9","0.463380830765923","7.3626267403779"
"C78339","287.539150520087","327.632601601649","264.365801064291","115.262476237454","80.5701617646879","144.91328972667","6.62390869297568e-11","-1.36665221788298","1.42642101551839e-12","0.387790074208418","10.1788856626981"
"Gpr17","41.9296324334416","37.2903368872673","25.1123509201419","13.8854290038814","7.53737211766969","9.00386572084314","0.000179879231763686","-1.82188941404021","0.0000293391819924067","0.282850296019365","3.74501897590454"
"Sepsecs","255.256538235113","291.693613629315","228.162368527252","100.144454995499","84.2075364424852","188.768108558875","0.0000361002129083168","-1.05119140291474","0.00000472350284348565","0.482569485506551","4.44249023674713"
"Mgat5","48.1163265165128","57.7629366500644","37.9459666306583","9.44585995534884","6.67121863035492","15.9457222549158","4.32672789346075e-7","-2.23653219177593","3.11405372828297e-8","0.212195770862449","6.36384041658412"
