Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0071105	10201	2923	2920	4973	1907	1507	5279	4379	4113	2539	2619	1870	3466.41	4590	2343	0.51	-0.971	-4.148	3.35998771658051e-05	0.00151008538853135	0.0238	0.09	0.0391	0.0391	TRUE	0.376
FBtr0082208	1504	607	499	953	294	301	778	909	703	487	404	373	609.04	797	421	0.53	-0.915	-4.142	3.4359285043782e-05	0.00153995074039442	0.0155	0.0962	0.0332	0.0332	TRUE	0.2261
FBtr0304997	1484	851	625	466	327	309	768	1275	880	238	449	383	665.58	974	357	0.365	-1.452	-4.129	3.64533694327686e-05	0.00162357067687612	0.0803	0.0955	0.0871	0.0871	TRUE	0.7317
FBtr0100199	242	99	67	47	38	34	125	148	94	24	52	42	81.05	122	39	0.314	-1.67	-4.106	4.01758352163159e-05	0.0017649975025973	0.0807	0.1449	0.1015	0.1015	TRUE	0.402
FBtr0347396	2685	910	928	1778	682	733	1390	1363	1307	908	936	909	1135.61	1353	918	0.678	-0.561	-4.106	4.02535460769346e-05	0.0017649975025973	0	0.0927	0.0125	0.0125	TRUE	0.0105
FBtr0088447	303	129	137	190	65	60	157	193	193	97	89	74	133.96	181	87	0.486	-1.041	-4.102	4.10400681930971e-05	0.001795502983448	0.0109	0.1227	0.0376	0.0376	TRUE	0.171
FBtr0086975	8764	3239	4056	4820	2218	2448	4536	4852	5713	2461	3046	3037	3940.78	5034	2848	0.566	-0.822	-4.096	4.19786540430683e-05	0.00182445688725643	0.0138	0.0898	0.0287	0.0287	TRUE	0.1733
FBtr0087960	2757	825	820	885	493	565	1427	1236	1155	452	677	701	941.25	1273	610	0.478	-1.065	-4.094	4.23312109437983e-05	0.00183574494827546	0.0329	0.0935	0.0475	0.0475	TRUE	0.6304
FBtr0309828	1663	834	699	379	305	353	861	1249	985	194	419	438	690.8	1032	350	0.339	-1.563	-4.076	4.57593472870028e-05	0.00197574474366917	0.1078	0.0953	0.1039	0.1039	TRUE	1.1651
FBtr0333231	2068	729	658	1159	384	541	1070	1092	927	592	527	671	813.23	1030	597	0.579	-0.787	-4.059	4.92455580406431e-05	0.0021033065016279	0.0091	0.0943	0.0257	0.0257	TRUE	0.1347
FBtr0087004	725	377	370	246	133	199	375	565	521	126	183	247	336.04	487	185	0.379	-1.401	-4.052	5.08796968108303e-05	0.00216375484824552	0.0739	0.1022	0.0822	0.0822	TRUE	0.6917
FBtr0330325	507	172	189	312	98	91	262	258	266	159	135	113	198.84	262	136	0.522	-0.939	-4.041	5.32161969255582e-05	0.00225470042173846	0.0087	0.1116	0.0331	0.0331	TRUE	0.2861
FBtr0084447	406	129	105	92	6	41	210	193	148	47	8	51	109.56	184	35	0.195	-2.361	-4.037	5.41697571290979e-05	0.00228402334163734	0.3067	0.1303	0.2291	0.2291	TRUE	2.637
FBtr0308633	264	148	110	87	48	63	137	222	155	44	66	78	116.96	171	63	0.364	-1.457	-4.03	5.57177938229161e-05	0.00233931926294727	0.0639	0.1277	0.0826	0.0826	TRUE	0.7266
FBtr0077080	2620	834	1017	1739	647	715	1356	1249	1433	888	888	887	1116.87	1346	888	0.66	-0.601	-4.029	5.60930444260255e-05	0.00234016867832206	0.0012	0.0928	0.015	0.015	TRUE	0.0457
FBtr0086617	44	18	32	7	3	7	23	27	45	4	4	9	18.53	32	6	0.167	-2.583	-4.029	5.60730895501732e-05	0.00234016867832206	0.1019	0.3347	0.1863	0.1863	TRUE	0.7111
