Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0344873	2	4	3	58	29	42	1	6	4	30	40	52	22.13	4	41	12.638	3.66	4.985	6.18782551875073e-07	4.58293069787625e-05	0.1408	0.2947	0.2166	0.2166	TRUE	0.6921
FBtr0086613	77	30	23	195	76	88	40	45	32	100	104	109	71.72	39	104	2.662	1.413	4.971	6.67435822905806e-07	4.89418468314028e-05	0	0.1522	0.0398	0.0398	TRUE	0.1144
FBtr0346713	1301	231	403	2480	1826	1912	673	346	568	1266	2507	2372	1288.81	529	2048	3.865	1.95	4.97	6.68232548393363e-07	4.89418468314028e-05	0.1178	0.0922	0.1096	0.1096	TRUE	1.3628
FBtr0344978	157	62	43	737	244	142	81	93	61	376	335	176	187.04	78	296	3.787	1.921	4.966	6.84702820601367e-07	4.99630932745094e-05	0.0926	0.113	0.099	0.099	TRUE	0.6199
FBtr0072767	258	62	94	503	294	366	134	93	132	257	404	454	245.57	120	372	3.085	1.625	4.916	8.8338783173688e-07	6.30649616339235e-05	0.0591	0.1072	0.0727	0.0727	TRUE	0.441
FBtr0334633	26	8	10	84	53	50	13	12	14	43	73	62	36.2	13	59	4.42	2.144	4.914	8.9028058882203e-07	6.33284123883296e-05	0	0.2146	0.089	0.089	TRUE	0.1974
FBtr0333852	148	61	37	336	319	351	77	91	52	172	438	435	210.86	73	348	4.733	2.243	4.893	9.94195666965504e-07	7.02150689794387e-05	0.1583	0.1103	0.1423	0.1423	TRUE	2.366
FBtr0339391	466	262	164	1646	578	554	241	392	231	841	794	687	531.02	288	774	2.695	1.43	4.887	1.02570817878693e-06	7.19268767216723e-05	0.0447	0.0973	0.0591	0.0591	TRUE	1.0689
FBtr0301501	537	149	125	1074	368	565	278	223	176	548	505	701	405.31	226	585	2.577	1.365	4.874	1.09150647882197e-06	7.60019035869875e-05	0.0363	0.0999	0.0532	0.0532	TRUE	0.4926
FBtr0072649	5466	1910	1907	8612	3049	3642	2829	2861	2686	4398	4187	4518	3579.8	2792	4368	1.564	0.646	4.873	1.09864258063738e-06	7.62303755512428e-05	9e-04	0.0899	0.0123	0.0123	TRUE	0.0158
FBtr0339629	103	43	72	402	150	200	53	64	101	205	206	248	146.42	73	220	3.047	1.608	4.859	1.18256369180641e-06	8.1493095859201e-05	0.0464	0.1198	0.0689	0.0689	TRUE	0.9502
FBtr0347200	644	135	153	1700	428	555	333	202	216	868	588	689	482.56	250	715	2.842	1.507	4.841	1.29029412228715e-06	8.73820762610563e-05	0.0572	0.0981	0.0669	0.0669	TRUE	0.4728
FBtr0112735	30	12	12	100	44	50	16	18	17	51	60	62	37.32	17	58	3.464	1.792	4.831	1.36177434381979e-06	9.12850428780892e-05	0	0.2108	0.0593	0.0593	TRUE	0.1206
FBtr0089989	415	160	173	779	335	366	215	240	244	398	460	454	335	233	437	1.882	0.912	4.807	1.53512310630085e-06	0.000101869326936575	0.0044	0.1023	0.0224	0.0224	TRUE	0.0784
FBtr0114506	150	53	49	293	147	174	78	79	69	150	202	216	132.23	75	189	2.49	1.316	4.792	1.64953660742373e-06	0.000107655400699024	0.0199	0.1232	0.0444	0.0444	TRUE	0.4107
FBtr0073839	174	41	76	587	155	181	90	61	107	300	213	225	165.94	86	246	2.852	1.512	4.788	1.68552279328549e-06	0.000109642148806647	0.0406	0.1161	0.0634	0.0634	TRUE	0.4906
FBtr0079779	168	50	55	325	122	160	87	75	77	166	168	199	128.55	80	178	2.2	1.137	4.751	2.01931406233725e-06	0.000128543911611176	0	0.1241	0.0317	0.0317	TRUE	0.1109
FBtr0088681	2534	845	983	4060	1947	2126	1311	1266	1385	2073	2674	2638	1891.02	1321	2462	1.863	0.897	4.718	2.37730184363719e-06	0.000148184768545804	0.0108	0.0911	0.0254	0.0254	TRUE	0.2343
FBtr0082452	11104	3101	3028	22013	6461	7663	5747	4645	4265	11241	8872	9507	7379.43	4886	9873	2.02	1.015	4.678	2.90078113949266e-06	0.000177594263261509	0.0199	0.0893	0.0337	0.0337	TRUE	0.2913
FBtr0330145	382	160	167	818	673	829	198	240	235	418	924	1028	507.15	224	790	3.524	1.817	4.64	3.47946979776212e-06	0.000210417477831027	0.1117	0.0977	0.1074	0.1074	TRUE	0.9886
FBtr0333013	212	74	88	895	224	187	110	111	124	457	308	232	223.52	115	332	2.907	1.54	4.62	3.8460104250076e-06	0.000229080892031703	0.0602	0.1091	0.0736	0.0736	TRUE	0.2331
FBtr0302151	4	2	1	30	27	29	2	3	1	15	37	36	15.81	2	29	13.604	3.766	4.608	4.06199633804255e-06	0.000239065409478546	0	0.3771	0.2303	0.2303	TRUE	1.6616
FBtr0300815	22	5	14	158	46	35	11	7	20	81	63	43	37.64	13	62	4.942	2.305	4.599	4.24717969203107e-06	0.000248485143224599	0.0832	0.2098	0.1311	0.1311	TRUE	0.1711
FBtr0085307	45	7	19	151	48	67	23	10	27	77	66	83	47.78	20	75	3.662	1.873	4.589	4.45450574331748e-06	0.000259081914923833	0	0.1841	0.0874	0.0874	TRUE	0.6155
FBtr0336697	43	19	32	199	74	77	22	28	45	102	102	96	65.76	32	100	3.211	1.683	4.582	4.60690137962444e-06	0.000266378581234133	0.0303	0.158	0.0747	0.0747	TRUE	0.7813
FBtr0334053	5112	2284	1959	9840	3954	4429	2646	3421	2759	5025	5429	5495	4129.21	2942	5316	1.808	0.854	4.579	4.67383505895881e-06	0.000269460898807319	0.0109	0.0898	0.0248	0.0248	TRUE	0.2449
FBtr0110921	55	31	23	251	116	67	28	46	32	128	159	83	79.65	35	123	3.511	1.812	4.57	4.87544123735692e-06	0.00028026700717655	0.0695	0.1459	0.0936	0.0936	TRUE	0.1256
