"ID","control_rep1","control_rep2","control_rep3","exper_rep1","exper_rep2","exper_rep3","padj","log2FoldChange","pvalue","foldChange","log10padj"
"C1qtnf2",6.97578226997839,6.94369539523871,8.97200134213238,18.0422186550336,22.9711640459326,20.9384953211364,0.0134537290029528,1.436543978481,0.00440636338424721,2.70671685665982,1.87115732451315
"Mtnr1a",52.8166371869792,42.6541288564664,50.8413409387502,105.246275487696,108.863342652463,79.7656964614718,0.000185438011626987,1.00620161434524,3.03824990801277e-05,2.00861576773492,3.73180123811073
"Gpc1",649.744291432273,448.364331235414,572.214307820443,1104.58471988039,1280.39270899502,1156.60259869134,5.07301915967168e-13,1.08432744789762,5.56607358876611e-15,2.12038677549337,12.2947334974453
"AK217757",13.9515645399568,11.9034778204092,12.9595574941912,19.0445641358688,35.9548654631988,29.9121361730519,0.0230891134305236,1.12964219262316,0.00834293437885045,2.18804467131727,1.63659274268367
"2010003K11Rik",328.858307013267,253.94086016873,390.780502901766,825.932676208207,705.114861583843,683.990847157121,1.30125636281443e-12,1.18602761785621,1.61951172642097e-14,2.2752540110598,11.8856371338861
"AK215772",35.8754516741746,44.6380418265346,61.807120356912,134.314294431917,207.73922267626,98.7100493710714,6.58587492400831e-08,1.63090581279792,3.62916058614394e-09,3.09707391050398,7.1813865214724
"Fabp5",83.7093872397407,67.4530409823189,79.7511230411767,129.302567027741,289.636416231324,380.881200603528,0.000658669704554544,1.79237831729392,0.000130946535876397,3.4638544680468,3.18133231142924
"Crygn",13.9515645399568,12.8954343054433,13.9564465322059,34.0797463483969,38.9511042517987,26.9209225557468,0.00422950623862864,1.29254288918507,0.00111789454992985,2.4495943989229,2.37371033010851
"Emp1",20.9273468099352,10.9115213353751,28.9097821024266,26.0609825017153,50.9360594061983,64.8096283749459,0.00692232630298044,1.22365416300771,0.0020127061902795,2.33537489554188,2.15974793288879
"Krt23",42.851233944153,18.8471732156479,42.8662286346325,116.272075776883,159.799402058661,171.496247392164,4.2610514325403e-13,2.09827547238551,4.60541053873184e-15,4.28197232789828,12.3704832236654
"AK029768",13.9515645399568,17.8552167306138,10.9657794181618,27.0633279825505,36.9536117260654,36.8916346134307,0.00624463286273029,1.23811218296243,0.00178140513336218,2.35889660354944,2.20449308977621
"Twf2",55.8062581598271,45.6299983115687,58.8164532428679,67.1571472159585,113.857073966796,172.493318597933,0.000378641983370247,1.14166799118862,6.85480574168195e-05,2.20635966996035,3.42177123364967
"AK208648",18.9342661613699,11.9034778204092,47.850673824706,124.290839623565,278.650207339791,147.566538453723,0.000353961654550134,2.80669989637194,6.35873143439772e-05,6.99682251693917,3.45104378350893
"Ankrd9",15.944645188522,10.9115213353751,17.9440026842648,33.0774008675617,35.9548654631988,30.9092073788203,0.00954497556203355,1.1578911288262,0.00293000191452254,2.23131025526341,2.02022517919148
"Gm4013",57.7993388083924,62.4932585571484,48.8475628627208,125.2931851044,134.830745486995,91.7305509306926,3.99874753610038e-05,1.05658005265979,5.30416032791502e-06,2.07999498891951,4.39807601450605
