"ID","control_rep1","control_rep2","control_rep3","exper_rep1","exper_rep2","exper_rep3","padj","log2FoldChange","pvalue","foldChange","log10padj"
"Eif4ebp2",916.817098340017,941.366704297363,851.343238464562,483.130521762567,349.561192003322,519.474098205336,1.33044136698392e-10,-1.00277710510598,3.18094554294035e-12,0.49903845446971,9.87600426020048
"Rps6ka3",43.8477742684356,66.4610844972848,32.8973382544854,16.0375276933632,15.9799402058661,18.9443529095996,0.000304063666537404,-1.49074963476958,5.29553278248635e-05,0.35582761025785,3.51703547188165
"Slc13a3",592.941492948163,688.417800613667,472.525404018972,260.609825017153,283.643938654124,322.053999463193,1.73889725306051e-09,-1.0175965095751,5.80913845286733e-11,0.493938555277516,8.75972607857644
"Nr2c2",194.325363235112,196.407384036752,174.455581652574,97.2275116410146,43.9448355661319,66.8037707864827,6.08910432872566e-09,-1.44258192460589,2.4081203559932e-10,0.367908286343313,8.21544658482186
"Zfhx2",187.349580965134,202.359122946957,166.480469348456,95.2228206793442,64.9185070863311,61.8184147576407,3.00275424019677e-09,-1.32556933231293,1.07197318326848e-10,0.398991707574543,8.52248021108907
"Bcl6",274.048589177723,362.064117037447,235.265812971471,142.333058278599,145.816954378528,115.660259869134,4.32741684734959e-08,-1.10976862760683,2.23935760871607e-09,0.463368337740234,7.36377126847491
"C78339",286.007073069114,324.369770606151,263.178706035883,115.269730296048,79.8997010293306,143.578253630649,6.65162017375716e-11,-1.36667137053585,1.43238852509468e-12,0.387784926093834,10.1770725581824
"Gpr17",40.8581532955877,36.7023899462618,24.9222259503677,13.0304912508576,6.99122384006643,8.97364085191558,0.000180012306681142,-1.82192797865755,2.9360887161945e-05,0.282842735261663,3.7446978030022
"Sepsecs",254.11778269207,288.659337144924,227.290700667354,100.23454808352,83.8946860807972,187.449386684459,3.61783079634222e-05,-1.05119876268964,4.73372112712263e-06,0.48256702372937,4.44155174867943
"Mgat5",47.8339355655661,56.5415196469438,36.8848944065442,9.02110932751682,5.9924775771998,14.956068086526,4.3340681813541e-07,-2.23655328306384,3.11933671613056e-08,0.212192668717329,6.36310426086278
"Glg1",286.007073069114,290.643250114992,215.328032211177,94.220475198509,73.9072234521309,132.610470367197,4.0396772331671e-10,-1.39687906939618,1.13453638825539e-11,0.379749752771853,9.39365333326917
"Cgnl1",1084.2358728195,1119.9188716035,833.399235780297,484.132867243403,364.542385946321,547.392091966851,4.64392460177672e-11,-1.12154816582798,9.77228054250894e-13,0.459600360327319,10.3331148400313
"Gm8898",33.8823710256093,40.6702158863982,32.8973382544854,20.046909616704,11.9849551543996,18.9443529095996,0.0126866470900154,-1.07597734217869,0.0041104611917785,0.474349607269532,1.89665314092406
"Slc22a26",19.9308064856525,75.3886928625918,30.903560178456,7.01641836584642,13.9824476801329,8.97364085191558,0.000153852357339263,-2.0743706507248,2.44395845485998e-05,0.237439086099218,3.81289584506754
"Map2k6",27.9031290799136,44.6380418265346,50.8413409387502,18.0422186550336,13.9824476801329,15.9531392922944,0.00137947402887231,-1.3628543509321,0.000306775686761418,0.388812268984969,2.86028647149768
"Tnrc6b",545.107557382597,528.712806523176,444.61251095456,234.548842515437,189.76178994466,230.3234485325,1.70969058296234e-14,-1.21386244005421,1.24590568970481e-16,0.43111287685524,13.7670824804097
"4932438A13Rik",790.256477156123,776.701927781702,581.186309162576,302.708335212231,242.695341876592,298.124290524751,1.64411345765762e-16,-1.34862044111726,6.66627724801911e-19,0.392667352668804,15.7840682157896
"Chic1",49.8270162141314,68.444997467353,53.8320080527943,17.0398731741984,19.9749252573327,30.9092073788203,0.000216940421029187,-1.34105326157365,3.62899598921337e-05,0.394732370308363,3.66365952131725
"Mtmr9",236.180056854983,251.956947198662,220.312477401251,98.2298571218498,79.8997010293306,125.630971926818,1.58308526265367e-09,-1.22167331101624,5.24973005301513e-11,0.428785102944624,8.800495694043
"C230091D08Rik",143.501806696698,176.56825433607,177.446248766618,82.1923294284866,63.9197608234645,83.7539812845454,3.63278675213833e-07,-1.11400164151158,2.56311305304044e-08,0.462010760543053,6.43976009486719
"Mug-ps1",1872.49926932706,1758.73884796546,1279.00863577287,713.669982354664,471.408236073051,549.386234378387,2.2324580311585e-17,-1.50135156521316,7.12894974332117e-20,0.353222324992521,16.6512166968325
"Uhmk1",111.612516319654,127.962386569399,91.7137914973533,23.0539460592097,18.976178994466,38.8857770249675,2.1255987356782e-11,-2.03335759690996,3.91598882770487e-13,0.244285883617902,10.6725187169193
"Slfn9",34.878911349892,24.7989121258526,14.9533355702206,13.0304912508576,3.99498505146653,9.97071205768398,0.0122665684096716,-1.46737764705577,0.00393920259581855,0.361639044635022,1.91127691479411
"AK047931",39.8616129713051,42.6541288564664,25.9191149883824,24.0562915400449,9.98746262866633,10.9677832634524,0.00727490865067856,-1.26916477461047,0.00212951759814754,0.414899903102634,2.13817245564175
"Chrnb2",37.8685323227398,35.7104334612277,34.8911163305148,15.035182212528,17.9774327315994,20.9384953211364,0.0162297626025902,-1.00735427799032,0.00549762776442443,0.49745768682233,1.78968783267772
"Slc41a2",669.675097917926,650.723454182371,678.881434888017,255.598097612977,165.791879635861,207.390810799827,4.87545196366298e-25,-1.66894936374582,3.99201831135919e-28,0.314482280582889,24.3119851181754
"Cfh",16300.4100842909,17932.5893364465,16434.7126807105,9358.89975455828,6187.23309845879,7014.39593258068,2.03735743315874e-15,-1.16727113909187,1.15104939726482e-17,0.445262760069107,14.6909327718683
"1810046K07Rik",18.9342661613699,31.7426075210913,28.9097821024266,15.035182212528,8.9887163657997,5.98242723461039,0.0090407919055958,-1.40799948893652,0.00274385406162185,0.376833860880032,2.0437935269176
"2210018M11Rik",79.7232259426102,91.2599966231374,68.7853436230149,50.1172740417601,29.962387885999,31.9062785845887,0.000351057751666431,-1.09872144930265,6.29794099648857e-05,0.466930117048655,3.45462143291619
"Lpp",889.910509584386,907.640183806203,724.738330636694,385.903010121553,261.671520871058,327.039355492035,5.29721052370083e-17,-1.37190321153188,1.86506224939929e-19,0.386381195748756,16.2759527668294
"Saa1",13767.2045799645,16085.566361313,10685.6535984797,6533.28784408385,4307.59263174379,4387.11330538095,2.56227008180428e-15,-1.4125719449817,1.46859007390731e-17,0.375641419938254,14.5913750943981
"Pdpr",144.498347020981,153.753255180286,100.685792839486,36.0844373100673,23.9699103087992,51.8477026999567,3.11757906864645e-10,-1.83383265730125,8.52592654489408e-12,0.280518406450724,9.50618252304866
"Tanc2",77.7301452940449,72.4128234074895,57.8195642048531,38.0891282717377,29.962387885999,33.9004209961255,0.000944357276999777,-1.02857076708061,0.000198103933814249,0.490195529729629,3.02486366875865
"Lin7a",459.405089494291,544.584110283722,461.55962460081,233.546497034602,189.76178994466,261.23265591132,2.01585782016563e-11,-1.09824857553646,3.64778988173752e-13,0.467083188339855,10.695540102234
